기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)아이디에스앤트러스트,업력 30년차,중소기업,1996년 1월 16일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 봉은사로 644, 3층","3,305만원","7,674만원","6,228만원",1996년,
(주)밸류그램컴퍼니,업력 3년차,중소기업,2023년 3월 15일 설립,시장조사 및 여론조사업,서울 서초구 신반포로47길 9-8,"2,535만원","5,316만원","3,408만원",2023년,
㈜동화엔텍,업력 46년차,중견기업,1980년 12월 30일 설립,"증류기, 열교환기 및 가스발생기 제조업",부산 강서구 녹산산단261로 7,"4,707만원","9,326만원","8,940만원",1980년,
에이스올루션글로벌 주식회사,,중소기업,2023년10월12일,시설관리·경비·용역,서울 성동구 연무장11길 10 우리큐브,,,,2023년,
(주)글로벌시스템스,업력 11년차,중소기업,2015년 4월 20일 설립,방송장비 제조업,"대전 유성구 유성대로1205번길 10, 1층 일부",,,,2015년,
아주약품(주),업력 73년차,중견기업,1953년 5월 4일 설립,완제 의약품 제조업,서울 구로구 경인로 600,"3,613만원","7,923만원","6,729만원",1953년,
(주)엠지데이터시스템,업력 6년차,중소기업,2020년 10월 16일 설립,응용 소프트웨어 개발 및 공급업,"서울 강서구 공항대로 390, 7층 (화곡동,지원동)","3,528만원","8,042만원","6,797만원",2020년,
주식회사스위그,,중소기업,2014년 8월 21일 설립,기타 광학기기 및 사진기 제조업,충남 천안시 서북구,,,,2014년,
(주)알지에이아이엔씨,업력 4년차,중소기업,2022년 6월 17일 설립,전기ㆍ전자공학 연구개발업,"서울 서초구 사임당로 171, 11층 (서초동,이더블유알빌딩)",,,,2022년,
주식회사 에이펙인텔리전스,업력 3년차,중소기업,2023년 2월 7일 설립,솔루션·SI·ERP·CRM,서울 금천구 벚꽃로 298 대륭포스트타워6차,,,,2023년,
(주)올랩컴퍼니,업력 5년차,중소기업,2021년 12월 30일 설립,그 외 기타 정보 서비스업,"서울 송파구 법원로 128, 제3층 제씨303호 (문정동,문정역에스케이브이1)","3,118만원","6,876만원","5,412만원",2021년,
(주)두핸즈,,중소기업,2013년 1월 15일 설립,"화물운송 중개,대리 및 관련 서비스업",서울 성동구,"2,867만원","5,995만원","4,626만원",2013년,
주식회사 부릉,,중견기업,2013년 1월 18일 설립,상품배달대행,서울 서초구,"3,599만원","7,695만원","6,780만원",2013년,
한영회계법인,,중견기업,1982년 3월 25일 설립,공인회계사업,서울 영등포구,"4,695만원","11,473만원","8,763만원",1982년,
(주)에코브레인,업력 17년차,중소기업,2009년 9월 15일 설립,환경 관련 엔지니어링 서비스업,"제주 제주시 첨단로3길 10, 303호","3,382만원","7,026만원","5,946만원",2009년,
(주)야놀자,업력 19년차,중견기업,2007년 2월 1일 설립,데이터베이스 및 온라인정보 제공업,"서울 강남구 테헤란로108길 42 (대치동,엠디엠타워)","3,822만원","8,522만원","7,785만원",2007년,
(주)핀샷,업력 10년차,중소기업,2016년 3월 28일 설립,응용 소프트웨어 개발 및 공급업,"서울 마포구 성암로 330, C동 8층 811호 (상암동,디엠씨첨단산업센터)",,,,2016년,
(주)인라이플,업력 14년차,중소기업,2012년 6월 20일 설립,응용 소프트웨어 개발 및 공급업,"서울 구로구 디지털로 272, 501호,502호,503호,504호 (구로동,한신아이티타워)",,,,2012년,
투아이시스(주),,중소기업,2003년 3월 25일 설립,"기타 측정,시험,항해,제어 및 정밀기기 제조업",경기 군포시 공단로,"3,479만원","7,541만원","6,344만원",2003년,
(주)공감랩,,중소기업,2015년 10월 26일 설립,소프트웨어 개발 및 공급업,"서울 성동구 성수일로8길 5, A동 508호",,,,2015년,
에스디바이오센서(주),업력 16년차,중견기업,2010년 12월 21일 설립,전기식 진단 및 요법 기기 제조업,"경기 수원시 영통구 덕영대로1556번길 16, 씨동 4층, 5층 (영통동,디지털엠파이어빌딩)","3,877만원","7,258만원","6,451만원",2010년,
(주)지엠코퍼레이션,,중소기업,2013년 11월 29일 설립,"사업시설 유지,관리 서비스업",대구 동구,"2,761만원","5,821만원","3,978만원",2013년,
(주)한국능률협회컨설팅,업력 37년차,중견기업,1989년 12월 21일 설립,경영 컨설팅업,서울 영등포구 여의공원로 101,,,,1989년,
(주)아이스크림아트,,중소기업,2019년 3월 19일 설립,시스템 소프트웨어 개발 및 공급업,서울 강남구,,,,2019년,
㈜뉴시스통신사,업력 31년차,중소기업,1995년 1월 16일 설립,뉴스 제공업,"서울 중구 퇴계로 173, 12층","3,004만원","7,438만원","5,100만원",1995년,
(주)에티포스,,중소기업,2022년 4월 25일 설립,응용 소프트웨어 개발 및 공급업,경기 성남시 분당구,,,,2022년,
(주)한국오픈솔루션,업력 14년차,중소기업,2012년 2월 13일 설립,응용 소프트웨어 개발 및 공급업,"경남 창원시 마산회원구 봉암북7길 21, 2동 506호",,,,2012년,
(주)휴런,업력 9년차,중소기업,2017년 11월 24일 설립,그 외 기타 의료용 기기 제조업,서울 영등포구,"3,475만원","8,162만원","6,963만원",2017년,
(주)릿지트레이딩그룹,,중소기업,2018년 4월 4일 설립,"증권 발행,관리,보관 및 거래 지원 서비스업",서울 영등포구,"4,808만원","10,667만원","9,097만원",2018년,
(주)네오위즈,업력 19년차,중견기업,2007년 4월 26일 설립,기타 게임 소프트웨어 개발 및 공급업,경기 성남시 분당구 대왕판교로645번길 14,"4,275만원","8,966만원","8,350만원",2007년,
(주)티지에스,,중소기업,2007년 3월 1일 설립,"컴퓨터 및 주변장치, 소프트웨어 도매업",경기 안산시 단원구,"2,548만원","5,444만원","3,793만원",2007년,
프보이(주),,중소기업,2021년 7월 12일 설립,응용 소프트웨어 개발 및 공급업,부산 해운대구,,,,2021년,
인카금융서비스(주),,대기업,2007년 10월 22일 설립,보험 대리 및 중개업,서울 성동구,"3,117만원","6,583만원","5,435만원",2007년,
(주)지오시스템리서치,,중소기업,2000년 7월 4일 설립,환경 관련 엔지니어링 서비스업,경기 군포시,"3,243만원","7,432만원","5,729만원",2000년,
(주)지아이티,,대기업,1997년 5월 22일 설립,"물질 검사, 측정 및 분석기구 제조업",서울 송파구,"4,021만원","9,523만원","8,836만원",1997년,
(주)투믹스,업력 12년차,중소기업,2014년 4월 30일 설립,포털 및 기타 인터넷 정보매개 서비스업,"서울 강남구 테헤란로38길 12, 13층",,,,2014년,
(주)라이언앤코,업력 17년차,중소기업,2009년 5월 7일 설립,경영 컨설팅업,서울 강남구,"2,812만원","6,346만원","4,303만원",2009년,
(주)엔비티,업력 14년차,중소기업,2012년 9월 17일 설립,광고 대행업,"서울 서초구 서초대로38길 12, 14층","4,520만원","10,169만원","8,787만원",2012년,
(주)닷코,,중소기업,2023년 7월 10일,컴퓨터시스템 통합 자문 및 구축 서비스업,부산 금정구,"2,625만원","5,379만원","4,153만원",2023년,
주식회사 세나클,,중소기업,2018년 11월 14일 설립,시스템 소프트웨어 개발 및 공급업,서울 강남구,,,,2018년,
스포츠투아이(주),업력 2년차,중소기업,2024년 11월 1일 설립,데이터베이스 및 온라인정보 제공업,경기 성남시 분당구 벌말로50번길 41,,,,2024년,
(주)한국정보통계,,중소기업,2001년 4월 13일 설립,응용 소프트웨어 개발 및 공급업,전북 전주시 완산구,"2,590만원","5,714만원","3,676만원",2001년,
(주)온품,업력 10년차,중소기업,2016년 12월 23일 설립,기타 무선 통신장비 제조업,서울 영등포구 당산로49길 13,"3,977만원","8,337만원","7,338만원",2016년,
엠비씨(MBC)아카데미 컴퓨터교육센터,,중소기업,2014년6월1일,"사회교육시설,직업훈련",서울 관악구,,,,2014년,
(주)애드포러스,,중소기업,2014년 7월 4일 설립,광고 대행업,서울 강남구,"3,594만원","7,989만원","6,854만원",2014년,
(주)스튜디오갈릴레이,업력 7년차,중소기업,2019년 8월 9일 설립,기타 엔지니어링 서비스업,"경기 용인시 수지구 신수로 767, A동 1001호 (동천동,분당수지유타워)","3,347만원","7,238만원","5,886만원",2019년,
뉴런어웨어코리아주식회사,,중소기업,2024년 4월 15일 설립,솔루션·SI·ERP·CRM,서울 성동구 왕십리로 58 FORHU,,,,2024년,
(주)루닛,,중소기업,2013년 8월 23일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 강남대로 374, 4층, 5층, 6층, 7층, 8층, 9층 (역삼동,케이스퀘어 강남2)","3,905만원","9,315만원","8,184만원",2013년,
주식회사오프리메드,업력 3년차,중소기업,2023년 7월 7일 설립,응용 소프트웨어 개발 및 공급업,"울산 남구 봉월로38번길 32, 601-2호","2,018만원","4,523만원","2,968만원",2023년,
(주)이노엑트,업력 11년차,중소기업,2015년 12월 1일 설립,경영 컨설팅업,"경기 고양시 일산동구 정발산로 24, 제티4-301호, 제티4-312호, 제티4-313호",,,,2015년,
(주)아비커스,업력 6년차,대기업,2020년 12월 2일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 논현로85길 70, 10층 10층 및 11층","4,235만원","9,864만원","9,034만원",2020년,
(주)상상스퀘어,업력 10년차,중소기업,2016년 2월 3일 설립,"컴퓨터 및 주변장치, 소프트웨어 도매업","경기 성남시 분당구 성남대로43번길 10, 307호 (구미동,하나이젯타워)","2,828만원","6,209만원","4,359만원",2016년,
현대오토에버(주),업력 26년차,대기업,2000년 4월 10일 설립,응용 소프트웨어 개발 및 공급업,서울 강남구 테헤란로 510,"4,392만원","10,177만원","9,407만원",2000년,
(주)티피씨인터넷,업력 7년차,중소기업,2019년 11월 4일 설립,응용 소프트웨어 개발 및 공급업,"서울 강남구 삼성로85길 26, 13층 (대치동,브이앤에스빌딩)","3,108만원","7,195만원","5,578만원",2019년,
주식회사 아이에이클라우드,업력 1년차,중소기업,2025년 1월 17일 설립,솔루션·SI·ERP·CRM,서울 송파구 송파대로22길 5-23 문정씨앤에스빌딩,,,,2025년,
(주)리비텍,업력 2년차,중소기업,2024년 7월 12일 설립,응용 소프트웨어 개발 및 공급업,제주 제주시 고사마루길 51,,,,2024년,
