기업명,설립연차_지울거,기업규모,설립연도,업종,본사_주소,최저_연봉,최고_연봉,평균_연봉,년도,
(주)딥다이브,,중소기업,2021년 09월 13일,속옷 및 잠옷 제조업,"서울 강남구 강남대로94길 10, 8층 801호",,,,2021년,
(주)현대홈쇼핑,업력 25년차,대기업,2001년 5월 29일 설립,기타 통신 판매업,서울 강동구 올림픽로70길 34,"3,507만원","7,772만원","6,429만원",2001년,
(주)투엘바이오,,중소기업,2015년 10월 06일,의료용품 및 기타 의약 관련제품 제조업,"인천 서구 거북로 17, 가동 101호,104호,105호 (석남동,인천테크피아)","2,365만원","5,183만원","3,280만원",2015년,
(주)와이엘사이언스,,중소기업,2014년 12월 08일,가전제품 및 부품 도매업,서울 금천구 가산디지털2로 (서울 금천구 가산동),"2,642만원","5,714만원","4,136만원",2014년,
(주)에즈금융서비스,업력 14년차,중소기업,2012년 2월 20일 설립,보험 대리 및 중개업,"서울 영등포구 국제금융로 10, 28층 (여의도동,쓰리아이에프씨)",,,,2012년,
(주)리온인베스트먼트,업력 6년차,중소기업,2020년 6월 16일 설립,전자상거래 소매업,"서울 강남구 테헤란로 138, 704호","2,384만원","4,975만원","3,197만원",2020년,
(주)한국유로핀즈분석서비스,업력 26년차,중소기업,2000년 9월 28일 설립,물질성분 검사 및 분석업,경기 군포시 산본로101번길 (경기 군포시 당정동),,,,2000년,
(주)셀엔백스,업력 5년차,중소기업,2021년 10월 22일 설립,"물리, 화학 및 생물학 연구개발업","대전 유성구 대학로 99, 302호 (궁동,동물병원)","3,140만원","6,920만원","5,507만원",2021년,
장영 유한책임회사,업력 3년차,중소기업,2023년 6월 2일 설립,연예·엔터테인먼트,서울 강남구 압구정로79길 62,"3,816만원","7,775만원","6,771만원",2023년,
(주)소윤컴퍼니,,중소기업,2015년 01월 09일,"간판 및 광고물 제조업","서울 송파구 동남로24길 5, 2층 (오금동,제오빌딩)","2,461만원","4,643만원","3,399만원",2015년,
루미너스랩,,중소기업,모름,전자상거래 소매 중개업,"울산 남구 삼산중로 13, 2층",,,,N/A,
본아이에프(주),업력 22년차,중견기업,2004년 7월 20일 설립,경영 컨설팅업,서울 영등포구 선유로 165,,,,2004년,
(주)비에스그룹,업력 5년차,중소기업,2021년 11월 18일 설립,광고 대행업,"경기 수원시 권선구 권선로713번길 10, 202,203호","2,436만원","5,533만원","3,442만원",2021년,
(주)타운즈,,중소기업,2019년 8월 29일,"데이터베이스 및 온라인 정보 제공업",서울 강남구 언주로134길 17 (논현동) JY빌딩 2층,"3,458만원","7,305만원","6,332만원",2019년,
아파트멘터리(주),,중소기업,2015년 12월 24일,"도배, 실내장식 및 내장 목공사업","서울 강남구 도산대로 237, 4층",,,,2015년,
(주)아이알컴즈,업력 11년차,중소기업,2015년 4월 2일 설립,그 외 기타 광고 관련 서비스업,"서울 강남구 논현로149길 47, 3층","2,611만원","5,596만원","4,076만원",2015년,
주식회사 메디컬컨설팅그룹,,중소기업,2023년 09월 14일,연구소·컨설팅·조사,"부산 부산진구 중앙대로644번길 62, 302호",,,,2023년,
포루스기획,,중소기업,2018년 03월 26,전자상거래 소매 중개업,"서울 중랑구 동일로 769, 402,403호",,,,2018년,
(주)편한가,,중소기업,2024년 01월 31일,기타 부동산 임대업,서울 강남구 도산대로6길 (서울 강남구 논현1동),"2,540만원","5,175만원","3,765만원",2024년,
맥시마이저(주),업력 4년차,중소기업,2022년 6월 28일 설립,광고 대행업,"서울 강남구 역삼로25길 37, 2층","2,928만원","6,271만원","4,895만원",2022년,
한국갭이어,,중소기업,2012년 05월 25일,호텔·여행·항공,서울 용산구 한강대로80길 11-49 2층(남영동),"2,572만원","4,812만원","3,556만원",2012년,
(주)에이플러스에셋어드바이저,,중소기업,2007년 06월 07일,보험 대리 및 중개업,서울 강남구 테헤란로4길 (서울 강남구 역삼1동),,,,2007년,
(주)미래생명자원,업력 11년차,중소기업,2015년 4월 6일 설립,동물용 사료 및 조제식품 제조업,"서울 송파구 법원로9길 26, 디-506, 507, 508, 509, 510, 511, 512호 (문정동,에이치비지니스파크)","2,807만원","6,111만원","4,470만원",2015년,
(주)마이하우스,업력 19년차,중소기업,2007년 12월 21일 설립,커튼 및 유사제품 제조업,대구 중구 큰장로22길 58,"2,618만원","5,572만원","4,009만원",2007년,
주식회사아이쉴드,,중소기업,2022년 02월 23일,정보보안·백신,서울 강남구 선릉로94길 14(삼성동),"3,433만원","6,664만원","5,612만원",2022년,
(주)엔엠에스컨설팅,업력 9년차,중소기업,2017년 3월 23일 설립,고용 알선업,"경기 안산시 단원구 이삭1길 13, 203호",,,,2017년,
이상기획,,중소기업,2023년 12월 4일 설립,광고·홍보·전시,서울 강남구 봉은사로4길 10,,,,2023년,
투자자문콜드브루주식회사,,중소기업,2023년 04월 28일,증권·보험·카드,서울 영등포구 여의나루로 71 동화빌딩,"3,166만원","6,671만원","5,514만원",2023년,
(주)코스네이처,업력 10년차,중소기업,2016년 12월 15일 설립,화장품 제조업,"서울 금천구 가산디지털1로 189, 1004-3호 (가산동,엘지가산디지털센터)",,,,2016년,
엘리멘탈사이언티픽인스트루먼츠코리아(유),업력 10년차,중소기업,2016년 12월 19일 설립,그 외 기타 분류 안된 상품 전문 소매업,"경기 화성시 동탄첨단산업1로 27, A동 2624호 (영천동,금강펜테리움아이엑스타워)","3,593만원","7,571만원","6,833만원",2016년,
허밍스토리(주),업력 15년차,중소기업,2011년 8월 25일 설립,광고 대행업,"서울 서대문구 이화여대1안길 21, 2층 (대현동,에스엠더포레스트2차)","3,042만원","6,912만원","5,227만원",2011년,
(주)웨니테크,업력 7년차,중소기업,2019년 12월 4일 설립,자연과학 및 공학 융합 연구개발업,"전북 군산시 산단남북로 193, 전북대 창업보육센터 201호,206호","2,650만원","5,683만원","4,199만원",2019년,
컨셉투엑스,,중소기업,2022년 10월 15일 설립,광고 대행업,"서울 강남구 테헤란로 123, 059호 스파크플러스 강남3호점",,,,2022년,
한화시스템(주),업력 26년차,대기업,2000년 1월 11일 설립,그 외 기타 전자부품 제조업,경북 구미시 1공단로 244,"4,426만원","9,022만원","9,166만원",2000년,
(주)올림픽컨트리클럽,업력 48년차,중소기업,1978년 4월 29일 설립,골프장 운영업,경기 고양시 덕양구 혜음로 301,"3,876만원","6,834만원","6,823만원",1978년,
(주)올에어,업력 3년차,중소기업,2023년 12월 15일 설립,공기 조화장치 제조업,"경기 화성시 팔탄면 버들로1318번길 22-11, 1동",,,,2023년,
(주)먼치팩토리,,중소기업,2016년 10월 10일,그 외 기타 정보 서비스업,서울 강남구 강남대로128길 (서울 강남구 논현1동),"3,637만원","7,534만원","6,610만원",2016년,
실란트로(주),,중소기업,2009년 05월 18일,그 외 기타 생활용품 도매업,서울 서초구 사평대로55길 (서울 서초구 반포1동),,,,2009년,
엑셀로(주),,중소기업,2013년 07월 02일,응용 소프트웨어 개발 및 공급업,서울 송파구 송파대로 (서울 송파구 문정2동),,,,2013년,
메종 에듀,,중소기업,2024년 01월 15일,경영 컨설팅업,경기 화성시 동탄대로 (경기 화성시 영천동),,,,2024년,
주식회사 엔오비엔터테인먼트,업력 2년차,중소기업,2024년 11월 25일 설립,연예·엔터테인먼트,서울 마포구 월드컵로5길 61,,,,2024년,
(주)아이콘스,업력 15년차,중소기업,2011년 1월 26일 설립,가방 및 기타 보호용 케이스 제조업,"서울 마포구 월드컵로8길 69, 2,3,4,5층 (서교동,마루빌딩)","3,135만원","6,875만원","5,421만원",2011년,
(주)금솔커뮤니케이션,업력 17년차,중소기업,2009년 12월 8일 설립,광고 대행업,"서울 금천구 가산디지털1로 145, 905호 906호",,,,2009년,
더조각(주),업력 3년차,중소기업,2023년 1월 31일 설립,기타 가정용 전기기기 제조업,"서울 영등포구 양평로 144, 9층","2,537만원","5,142만원","3,861만원",2023년,
한국에스지에스(주),,중견기업,1979년 01월 25일,"기타 기술 시험, 검사 및 분석업",서울 용산구 한강대로 (서울 용산구 갈월동),"3,172만원","7,503만원","5,921만원",1979년,
브렝땅,,중소기업,2020년 06월 29일,전자상거래 소매업,"서울 강동구 구천면로 295, 지하2층",,,,2020년,
(주)더블미디어,업력 7년차,중소기업,2019년 9월 27일 설립,위성 및 기타 방송업,서울 강남구 학동로 506,"2,797만원","5,955만원","4,266만원",2019년,
(주)마케팅모먼트,업력 6년차,중소기업,2020년 10월 20일 설립,광고 대행업,"서울 금천구 디지털로9길 65, 제13층 제1301호, 제1302호, 제1303호 (가산동,백상스타타워1차)","2,587만원","5,949만원","3,984만원",2020년,
웰트(주),업력 10년차,중소기업,2016년 6월 29일 설립,플라스틱물질 및 합성고무 도매업,"서울 서초구 강남대로 311, 1408호, 1409호","3,707만원","7,348만원","6,709만원",2016년,
케이케이데이(주),업력 10년차,중소기업,2016년 5월 18일 설립,여행사업,"서울 서초구 서초대로 398, 6층 602호",,,,2016년,
(주)펫닥,업력 10년차,중소기업,2016년 12월 15일 설립,애완용 동물 및 관련용품 소매업,서울 서초구 강남대로79길 32,"3,133만원","6,941만원","5,476만원",2016년,
(주)빌리지베이비,업력 8년차,중소기업,2018년 10월 5일 설립,응용 소프트웨어 개발 및 공급업,"서울 마포구 백범로31길 21, 본관 517호","2,700만원","6,163만원","4,177만원",2018년,
주식회사 모리아타운,,중소기업,2006년 09월 19일,시스템 소프트웨어 개발 및 공급업,서울 송파구 법원로 (서울 송파구 문정2동),,,,2006년,
(주)샐러드랩,,중소기업,2017년 03월 06일,광고 대행업,서울 강남구 테헤란로78길 (서울 강남구 대치4동),"2,786만원","6,115만원","4,463만원",2017년,
헬스앤바이오(주),,중소기업,2014년 09월 03일,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",경기 안성시 공도읍 공도로 (경기 안성시 공도읍),,,,2014년,
(주)한국타미야,업력 30년차,중소기업,1996년 1월 25일 설립,"장난감 및 취미, 오락용품 도매업","서울 서초구 바우뫼로 215 (양재동,타미야빌딩)","2,451만원","5,151만원","3,453만원",1996년,
(주)창마루,업력 21년차,중소기업,2005년 1월 1일 설립,골판지 상자 및 가공제품 제조업,경기 화성시 장안면 남양호로 81-15,"3,172만원","6,921만원","5,526만원",2005년,
(주)디티앤씨알오,업력 9년차,중소기업,2017년 4월 3일 설립,의학 및 약학 연구개발업,"경기 용인시 처인구 백령로20번길 28, 나동 2, 3, 4층","2,443만원","5,727만원","3,527만원",2017년,
(주)코디아,업력 18년차,중소기업,2008년 1월 30일 설립,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,경기 안산시 상록구 안산테콤길 29,"2,892만원","5,750만원","4,676만원",2008년,
"주식회사 올데이커뮤니케이션(ALLDAY Communication Co.,Ltd.)",업력 8년차,중소기업,2018년 9월 10일 설립,광고 대행업,"서울 강남구 도산대로55길 46, 3층","2,543만원","5,797만원","3,827만원",2018년,
주식회사 노터스,업력 4년차,중소기업,2022년 6월 28일 설립,광고·홍보·전시,서울 성동구 아차산로 126 더리브 세종타워 6층 13호,"3,261만원","6,787만원","5,668만원",2022년,
(주)뉴보텍,업력 36년차,중소기업,1990년 11월 1일 설립,"플라스틱 선, 봉, 관 및 호스 제조업",강원 원주시 태장공단길 42-6,"2,919만원","5,977만원","4,822만원",1990년,
(주)아이비알,,중소기업,2018년 08월 10일,그 외 기타 금융 지원 서비스업,서울 송파구 충민로 (서울 송파구 문정2동),,,,2018년,
(주)실리콘투,업력 24년차,중소기업,2002년 1월 18일 설립,상품 종합 도매업,"경기 성남시 분당구 판교역로 231, S동 907호","2,833만원","6,323만원","4,336만원",2002년,
(주)치엘로,업력 4년차,중소기업,2022년 8월 22일 설립,건강기능식품 제조업,"부산 동구 중앙대로196번길 6-7, 403호 에이11",,,,2022년,
다츠커뮤니케이션,,중소기업,1997년 07월 22일,광고 대행업,서울 서초구 동작대로 (서울 서초구 방배동),,,,1997년,
오로지,,중소기업,2023년 05월 31일,모바일 게임 소프트웨어 개발 및 공급업,서울 관악구 남현3길 (서울 관악구 남현동),,,,2023년,
(주)케이몬즈,업력 5년차,중소기업,2021년 9월 27일 설립,화장품 및 화장용품 도매업,"서울 성동구 아차산로17길 49, 1716호 (성수동2가,생각공장데시앙플렉스)","2,917만원","5,862만원","4,423만원",2021년,
(주)윈에이드,,중소기업,2017년 02월 10일,광고 대행업,서울 영등포구 양평로20길 (서울 영등포구 양평동4가),,,,2017년,
(주)그림,업력 15년차,중소기업,2011년 3월 30일 설립,전기·전자·제어,경기 광명시 일직로 43 (일직동) GIDC C동 1306호,"3,293만원","6,947만원","5,796만원",2011년,
머스크컨트랙트로지스틱스코리아(유),,중소기업,2014년 8월 7일,"상품 종합 중개업","서울 강남구 테헤란로 620 (대치동, 미래에셋타워)","3,608만원","7,460만원","6,423만원",2014년,
(주)제이에스케이,업력 11년차,중소기업,2015년 4월 8일 설립,화장품 제조업,"대구 중구 동성로2길 95, 4층","2,680만원","5,435만원","3,769만원",2015년,
한스바이오뷰티,,중소기업,2024년 06월 18일,"건강/식품","경기도 남양주시 별내중앙로 26, 10층 1002-519호(별내동, 진영엔타워)",,,,2024년,
엣지에너지(주),업력 5년차,중소기업,2021년 5월 17일 설립,기타 기초 무기 화학물질 제조업,"인천 계양구 서운산단로7길 19, 2층","4,064만원","8,197만원","7,416만원",2021년,
에빈코리아(유),업력 8년차,중소기업,2018년 1월 8일 설립,화장품 및 화장용품 도매업,"서울 강남구 테헤란로78길 16, 6층 (대치동,노벨빌딩)","3,427만원","7,079만원","6,014만원",2018년,
카디널헬스코리아 유한회사,업력 11년차,중소기업,2015년 7월 9일 설립,의료용 기구 소매업,"서울 중구 통일로2길 16, 4층 (순화동,에이아이에이타워)","4,927만원","10,295만원","9,453만원",2015년,
(주)아이브코리아,업력 10년차,중소기업,2016년 12월 29일 설립,응용 소프트웨어 개발 및 공급업,"서울 광진구 천호대로110길 7, 4층 (능동,마주빌딩)","2,704만원","6,171만원","4,193만원",2016년,
(주)카플,업력 5년차,중소기업,2021년 8월 13일 설립,전자상거래 소매업,"경기 성남시 분당구 서현로180번길 26, 4층 403호 (서현동,아름빌딩)","2,890만원","6,126만원","4,669만원",2021년,
(주)청윤헬스케어,,중소기업,2017년 8월 29일,"그 외 기타 광고 관련 서비스업","경기도 화성시 동탄지성로 125 (우)18435","2,788만원","5,778만원","4,226만원",2017년,
태그바이컴퍼니(주),업력 10년차,중소기업,2016년 5월 20일 설립,광고 대행업,"서울 강남구 테헤란로7길 22, 한국과학기술회관 증축관 10층 1006호 (역삼동,스파크플러스 강남5호점)","2,764만원","6,331만원","4,444만원",2016년,
(주)아워코퍼레이션,,중소기업,2021년 11월 8일,전자상거래 소매업,"서울 강남구 선릉로 652, 4층",,,,2021년,
주식회사엠앤비,업력 8년차,중소기업,2018년 10월 24일 설립,전자상거래 소매업,"인천 미추홀구 염전로 114, A동 3층","2,792만원","5,775만원","4,252만원",2018년,
(주)피아이코퍼레이션,업력 5년차,중소기업,2021년 7월 19일 설립,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업","서울 강남구 봉은사로 449, 11층 (삼성동,밤부타워)","2,596만원","5,541만원","3,960만원",2021년,
블리츠씰(BlitzSEAL),,중소기업,2024년 설립,광고·홍보·전시,서울 강북구 오현로 56,,,,2024년,
(주)HR컨설팅그룹,업력 14년차,중소기업,2012년 7월 3일 설립,경영 컨설팅업,"서울 금천구 디지털로 130, 1403호",,,,2012년,
㈜리큅,,중소기업,2002년 5월 14일,"주방용 전기기기 제조업","경기도 화성시 장안면 포승장안로 1196 (우)18583","2,928만원","6,558만원","4,832만원",2002년,
(주)모베이스전자,업력 48년차,중견기업,1978년 1월 7일 설립,자동차용 신품 전기장치 제조업,경기 수원시 권선구 산업로156번길 100,"3,558만원","7,445만원","6,522만원",1978년,
디자이너(주),업력 7년차,중소기업,2019년 6월 12일 설립,응용 소프트웨어 개발 및 공급업,"서울 서초구 방배로 180, 209호",,,,2019년,
콘텐츠공동체협동조합,업력 6년차,중소기업,2020년 5월 19일 설립,광고 대행업,"경남 김해시 내외중앙로 30, 303호","2,361만원","5,304만원","3,160만원",2020년,
(주) 이스트엔드,업력 10년차,중소기업,2016년 8월 25일 설립,남녀용 겉옷 및 셔츠 도매업,"서울 성동구 뚝섬로1길 63, 지하2층 비201호, 비202호 (성수동1가,영창디지털타워)","3,134만원","7,049만원","5,425만원",2016년,
(주)일그램,,중소기업,2016년 02월 17일,광고 대행업,"서울 광진구 광나루로24길 8, 2,3,4층",,,,2016년,
(주)세일업,업력 5년차,중소기업,2021년 8월 9일 설립,광고 대행업,"서울 구로구 디지털로31길 62, 1704호, 1705호, 1706호 (구로동,아티스포럼)","2,482만원","5,664만원","3,618만원",2021년,
이투스교육(주),업력 28년차,중견기업,1998년 4월 8일 설립,일반 교과 학원,서울 강남구 강남대로94길 30,,,,1998년,
(주)아정네트웍스,업력 5년차,중소기업,2021년 5월 3일 설립,포털 및 기타 인터넷 정보매개 서비스업,"부산 북구 만덕대로 (부산 북구 덕천1동)",,,,2021년,
(주)이노바인코리아,업력 7년차,중소기업,2019년 10월 8일 설립,화장품 제조업,"서울 강남구 논현로149길 67-7 (논현동,명은빌딩)","3,033만원","6,631만원","5,142만원",2019년,
(주)지투이,업력 26년차,중소기업,2000년 8월 10일 설립,그 외 기타 의료용 기기 제조업,"서울 구로구 디지털로 242, 206호 (구로동,한화비즈메트로1차)",,,,2000년,
리진바이오(주),업력 10년차,중소기업,2016년 4월 12일 설립,전자상거래 소매업,"서울 강서구 화곡로64길 97, 4층 401호","2,952만원","5,618만원","4,272만원",2016년,
(주)하카코리아,,중소기업,2014년 04월 10일,"음ㆍ식료품 및 담배 중개업","부산 해운대구 센텀중앙로 (부산 해운대구 재송동)",,,,2014년,
(주)인테그라디앤씨,업력 8년차,중소기업,2018년 10월 23일 설립,건물 및 토목 엔지니어링 서비스업,"경기 안산시 상록구 한양대학로 55, 7층 703호 (사동,에리카컨벤션센터)","3,713만원","7,779만원","6,709만원",2018년,
(주)세원정공,업력 37년차,중소기업,1989년 7월 20일 설립,자동차 차체용 신품 부품 제조업,대구 달서구 달서대로 554,"4,375만원","8,883만원","8,867만원",1989년,
(주)브리드비인터내셔널,,중소기업,2014년 7월 3일,"화장품 제조업","대구 달성군 다사읍 달구벌대로174길 (대구 달성군 다사읍)","2,573만원","5,702만원","3,851만원",2014년,
(주)우아한청년들,,중견기업,2015년 6월 22일,"음식배달 대행/물류센터,물류터미널 운영,육상 운송지원/프랜차이즈/전자상거래","서울 송파구 올림픽로35다길 (서울 송파구 잠실6동)",,,,2015년,
(주)바이넥스,,중견기업,1985년 3월 20일,"합성의약품 및 기타 완제 의약품 제조업","부산광역시 사하구 다대로 368-3 (우)49469",,,,1985년,
(주)위드잇컴퍼니,업력 5년차,중소기업,2021년 12월 28일 설립,"광고물 문안, 도안, 설계 등 작성업",서울 마포구 동교로 150,"2,944만원","6,358만원","4,970만원",2021년,
(주)와그,,중소기업,2015년 01월 23일,여행사업,"서울 종로구 경희궁길 (서울 종로구 신문로2가)","3,026만원","6,647만원","5,166만원",2015년,
(주)글로비트,업력 15년차,중소기업,2011년 12월 28일 설립,그 외 기타 전자부품 제조업,제주 제주시 중앙로 175,"2,634만원","5,486만원","4,060만원",2011년,
(주)페로카,업력 12년차,중소기업,2014년 6월 26일 설립,기타 반도체소자 제조업,"경기 성남시 분당구 판교역로 225-12, 10층일부,지하1층일부","3,468만원","6,594만원","5,748만원",2014년,
(주)아이엠캔들,업력 6년차,중소기업,2020년 11월 11일 설립,그 외 기타 분류 안된 화학제품 제조업,인천광역시 남동구 남동서로236번길 13 (우)21632,"2,812만원","6,253만원","4,488만원",2020년,
(주)프로스이앤에프,업력 5년차,중소기업,2021년 5월 3일 설립,가금류 가공 및 저장 처리업,충북 음성군 맹동면 덕금로87번길 111-1,,,,2021년,
(주)그레이트북스,,중소기업,2003년 08월 08일,일반 서적 출판업,서울 구로구 디지털로31길 (서울 구로구 구로3동),"3,044만원","6,337만원","5,219만원",2003년,
(주)퍼플오션코리아,,중소기업,2020년 05월 08일,남녀용 겉옷 및 셔츠 도매업,"부산 수영구 수영로427번길 (부산 수영구 남천1동)","2,592만원","5,281만원","3,538만원",2020년,
서울대학교 생명공학공동연구원,,기타,2003년 1월 1일 설립,기타 공학 연구개발업,"서울특별시 관악구 관악로 1, 81동 3층 314호 (서울대학교 생명공학연구동) 행정실(신림동, 생명공학연구)","4,027만원","7,627만원","6,701만원",2003년,
(주)라이프위드코퍼레이션,업력 5년차,중소기업,2021년 6월 24일 설립,화장품 제조업,"서울 구로구 디지털로30길 28, 5층 513호 (구로동,마리오타워)","2,653만원","5,865만원","4,121만원",2021년,
(주)비비파트너스,,중소기업,2023년 2월 16일,"그 외 기타 분류 안된 사업지원 서비스업","경기 남양주시 가운로2길 (경기 남양주시 다산동)",,,,2023년,
(주)비아이지엠,,중소기업,2020년 08월 13일,"상품 종합 도매업","서울 도봉구 방학로3길 (서울 도봉구 방학1동)","3,164만원","6,619만원","5,555만원",2020년,
(주)필리퍼,업력 7년차,중소기업,2019년 5월 2일 설립,반도체 제조용 기계 제조업,대구 북구 팔달북로2길 14,"2,982만원","6,045만원","4,309만원",2019년,
(주)한국건강식품연구소,,중소기업,2019년 04월 16일,건강기능식품 제조업,"세종 대평로 (세종 대평동)",,,,2019년,
올라이프(주),업력 5년차,중소기업,2021년 11월 9일 설립,상품 종합 중개업,"경기 안산시 단원구 광덕4로 148, 607호","2,007만원","5,215만원","2,742만원",2021년,
민컴퍼니인터내셔널(주),업력 5년차,중소기업,2021년 11월 2일 설립,광고 대행업,"서울 금천구 벚꽃로 278, 813호,814호,815호 (가산동,에스제이테크노빌)","2,488만원","5,674만원","3,637만원",2021년,
(주)심플코리아,,중소기업,2021년 01월 12일,"컴퓨터 및 주변장치, 소프트웨어 소매업","서울 강남구 언주로134길 (서울 강남구 논현2동)",,,,2021년,
(주)21세기건설,업력 19년차,중소기업,2007년 9월 18일 설립,주거용 건물 개발 및 공급업,"경남 창원시 의창구 우곡로217번길 17, 4층","3,260만원","6,869만원","5,671만원",2007년,
인테이크(주),업력 13년차,중소기업,2013년 2월 19일 설립,그 외 기타 식료품 제조업,"서울 서초구 서초대로40길 83, 4층 (서초동,우제빌딩)","3,629만원","7,357만원","6,451만원",2013년,
주식회사 플레이스,업력 7년차,중소기업,2019년 10월 4일 설립,광고 대행업,"서울 강서구 공항대로 236, 11층 일부","2,595만원","5,980만원","4,028만원",2019년,
블래스트(주),,중소기업,2022년 01월 21일,"애니메이션 영화 및 비디오물 제작업","서울 마포구 월드컵북로 (서울 마포구 연남동)","3,006만원","6,783만원","5,114만원",2022년,
(주)브리찌,,중소기업,2019년 07월 26일,"편조의복 제조업","서울 광진구 광나루로56길 (서울 광진구 구의3동)",,,,2019년,
(주)이브릿지,업력 23년차,중소기업,2003년 11월 11일 설립,광고 대행업,"서울 중구 남대문로 113, 3층 (다동,동부다동빌딩)","2,641만원","5,696만원","3,914만원",2003년,
유나이티드보더스(주),업력 9년차,중소기업,2017년 4월 7일 설립,전자상거래 소매 중개업,"서울 송파구 법원로 128, C동 512호","2,652만원","6,001만원","4,168만원",2017년,
(주)포터블뉴트리션,업력 7년차,중소기업,2019년 1월 22일 설립,전자상거래 소매업,"서울 강서구 공항대로 242, 603호, 604호, 605호, 606호","3,089만원","6,501만원","5,339만원",2019년,
(주)얀센백신,업력 28년차,중소기업,1998년 10월 28일 설립,생물학적 제제 제조업,인천 연수구 하모니로303번길 23,"3,697만원","8,144만원","6,602만원",1998년,
(주)에버트레져,업력 3년차,중소기업,2023년 4월 4일 설립,응용 소프트웨어 개발 및 공급업,"서울 중구 청계천로 40, 12층 01호 (다동,씨케이엘기업지원센터)","2,621만원","5,210만원","3,650만원",2023년,
(주)헤리트,업력 26년차,중소기업,2000년 1월 18일 설립,응용 소프트웨어 개발 및 공급업,"경기 성남시 분당구 대왕판교로 660, A동 1008호 (삼평동,유스페이스1)",,,,2000년,
아크라덱스 주식회사,,중소기업,2022년 10월 11일,화장품·뷰티,서울 금천구 가산디지털1로 5 대륭테크노타운 20차,,,,2022년,
(주)버핏서울,업력 8년차,중소기업,2018년 11월 6일 설립,기타 공학 연구개발업,"서울 강남구 논현로 336, 3층",,,,2018년,
폴프랜즈(주),,중소기업,2019년 04월 09일,"그 외 기타 분류 안된 섬유제품 제조업","서울 강서구 양천로 (서울 강서구 등촌동)",,,,2019년,
(주)프로덕트온라인,,중소기업,2020년 03월 20일,"편조의복 제조업","경기 수원시 영통구 매영로159번길 (경기 수원시 영통구 원천동)","2,974만원","5,803만원","4,585만원",2020년,
(주)제이오텍,업력 37년차,중소기업,1989년 10월 5일 설립,"물질 검사, 측정 및 분석기구 제조업",대전 유성구 테크노2로 153,"3,013만원","6,566만원","5,423만원",1989년,
(주)비케이씨앤씨,업력 5년차,중소기업,2021년 3월 10일 설립,그 외 기타 분류 안된 사업지원 서비스업,"서울 강남구 테헤란로 534, 30층","3,123만원","5,995만원","5,011만원",2021년,
(주)사일로,업력 3년차,중소기업,2023년 7월 26일 설립,광고 대행업,"서울 마포구 잔다리로 44, 6층, 7층, 8층, 9층","2,783만원","5,756만원","4,486만원",2023년,
(주)올릿,업력 2년차,중소기업,2024년 9월 25일 설립,전자상거래 소매업,"서울 구로구 디지털로26길 61, 제5층 제501호,제502호 (구로동,에이스하이엔드타워2차)",,,,2024년,
한산컨설팅,23년차,중견기업,2025년 1월 4일 설립,종합 경영 컨설팅,경기도 평택시 서재로 36 (동삭동 715-1) 서재자이아파트 103동 801호,,,,2025년,
(주)에고이즘,업력 3년차,중소기업,2023년 11월 22일 설립,전자상거래 소매업,"충남 아산시 배방읍 희망로46번길 19-3, 11층 (엑스큐브)","2,912만원","6,231만원","4,836만원",2023년,
(주)크리드네트웍스,,중소기업,2017년 08월 09일,"신발 도매업","서울 성동구 연무장15길 (서울 성동구 성수2가3동)",,,,2017년,
(주)포인트나인크루,,중소기업,2020년 05월 12일,기타 의복 소매업,"서울 강동구 양재대로 (서울 강동구 길동)",,,,2020년,
(주)이루에프씨,,중소기업,2009년 07월 24일,경영 컨설팅업,"서울 송파구 백제고분로 (서울 송파구 방이2동)","2,826만원","5,716만원","4,585만원",2009년,
코코도르(주),업력 24년차,중소기업,2002년 6월 28일 설립,그 외 기타 분류 안된 화학제품 제조업,"경기 용인시 처인구 모현읍 왕담로 145-17, 2층,3층",,,,2002년,
(주)온누리커뮤니케이션,업력 6년차,중소기업,2020년 12월 31일 설립,전자상거래 소매업,"서울 서초구 서운로 26-1, 701호 (서초동,보일빌딩)","3,049만원","5,902만원","4,693만원",2020년,
조금특별한생각,,중소기업,2019년 07월 26일,"천막, 텐트 및 유사 제품 제조업","인천 서구 원창로89번길 33, 1동 1~2층",,,,2019년,
주식회사 놀유니버스,,중소기업,2022년 04월 01일,"전자상거래 소매업","경기 성남시 수정구 금토로 (경기 성남시 수정구 금토동)",,,,2022년,
(주)타임교육,,중견기업,2011년 11월 01일,기타 교습학원,"서울 강남구 봉은사로 (서울 강남구 삼성동)","2,501만원","5,737만원","3,835만원",2011년,
(주)커뮤니케이션앤컬처,,중소기업,2015년 07월 03일,"남녀용 겉옷 및 셔츠 도매업","서울 중구 퇴계로 (서울 중구 충무로1가)",,,,2015년,
라이프앤스타일 주식회사,,중소기업,2015년 12월 11일,"상품 종합 도매업",서울 마포구 마포대로 (서울 마포구 공덕동),,,,2015년,
(주)안티그래비티,업력 8년차,중소기업,2018년 5월 30일 설립,화장품 제조업,"서울 성동구 성수이로22길 37, 3층 303씨호","3,044만원","6,558만원","5,158만원",2018년,
(주)세라컴,업력 27년차,중소기업,1999년 6월 23일 설립,기체 여과기 제조업,충남 아산시 온천대로1122번길 46-5,"3,076만원","6,464만원","5,255만원",1999년,
